id	gene
WP_004030875.1	Fe
WP_012955328.1	Fe
WP_019263574.1	Fe
WP_016357634.1	Fe
WP_013296316.1	Fe
WP_010876766.1	Fe
WP_013413799.1	Fe
WP_015791545.1	Fe
WP_013100253.1	Fe
WP_010870290.1	Fe
WP_012980975.1	Fe
WP_004591226.1	Fe
WP_012819445.1	Fe
WP_011973735.1	Fe
WP_011869295.1	Fe
WP_012065947.1	Fe
WP_013180733.1	Fe
WP_013866724.1	Fe
WP_018153721.1	Fe
WP_007044258.1	Fe
WP_013799270.1	Fe
WP_011834108.1	Fe
WP_013329929.1	Fe
WP_015284887.1	Fe
WP_011018385.1	Fe
WP_005035184.1	FeFeA1
WP_005038203.1	FeFeA1
WP_013771726.1	FeFeA1
WP_024286662.1	FeFeA1
WP_006362914.1	FeFeA1
XP_008860272.1	FeFeA1
XP_008860420.1	FeFeA1
WP_017890120.1	FeFeA1
WP_026137213.1	FeFeA1
WP_021646890.1	FeFeA1
WP_016268012.1	FeFeA1
WP_022372326.1	FeFeA1
WP_022473470.1	FeFeA1
WP_022473608.1	FeFeA1
WP_005436344.1	FeFeA1
WP_016475267.1	FeFeA1
XP_001693376.1	FeFeA1
XP_001694503.1	FeFeA1
XP_005843810.1	FeFeA1
XP_005847147.1	FeFeA1
XP_005848612.1	FeFeA1
XP_002948483.1	FeFeA1
XP_002956049.1	FeFeA1
WP_009379319.1	FeFeA1
WP_009380765.1	FeFeA1
WP_005026529.1	FeFeA1
WP_028586843.1	FeFeA1
WP_013513265.1	FeFeA1
WP_011366264.1	FeFeA1
WP_011368163.1	FeFeA1
WP_027176561.1	FeFeA1
WP_027179345.1	FeFeA1
WP_012625129.1	FeFeA1
WP_005996594.1	FeFeA1
WP_015337634.1	FeFeA1
WP_027183226.1	FeFeA1
WP_022663178.1	FeFeA1
WP_027191878.1	FeFeA1
WP_015851212.1	FeFeA1
WP_010939057.1	FeFeA1
WP_027722058.1	FeFeA1
WP_014812866.1	FeFeA1
WP_011697718.1	FeFeA1
WP_002945014.1	FeFeA1
WP_018712282.1	FeFeA1
WP_024788990.1	FeFeA1
